Fiscal Year,State,Status,Name,Individuals who are still being served as of October 1,Additional individuals who were served during the year,Total individuals served,Individuals with more than one intervention opened/closed FY,Individual still being served as of September 30
2011,Arkansas,Published,Disability Rights Center,11,26,37,1,4
2011,Connecticut,Published,Protection and Advocacy for Persons with Disabilit,25,33,58,1,6
2011,Delaware,Published,United Cerebral Palsy of Dela. Inc.,6,14,20,0,6
2011,Florida,Published,Disability Rights Florida,29,288,317,23,71
2011,Idaho,Published,Disability Rights Idaho Inc.,8,52,60,3,7
2011,Iowa,Published,Iowa Client Assistance Program,12,22,34,1,6
2011,Kentucky,Published,Kentucky Client Assistance Program,12,50,62,0,12
2011,Maine,Published,Bureau of Rehabilitation Services,38,54,92,1,27
2011,Massachusetts,Published,Massachusetts Office on Disability,21,116,137,9,17
2011,Minnesota,Published,Legal Aid Society of Minneapolis,31,77,108,0,42
2011,Missouri,Published,Missouri Protection & Advocacy Services,31,59,90,8,31
2011,Nebraska,Published,Nebraska Vocational Rehabilitation,4,37,41,2,6
2011,New Jersey,Published,Disability Rights New Jersey,71,46,117,0,65
2011,New Mexico,Published,Disability Rights New Mexico,9,15,24,1,7
2011,New York,Published,NYS CQCAPD,483,331,814,0,612
2011,North Carolina,Published,Division of Vocational Rehabilitation Services,38,121,159,0,39
2011,Oregon,Published,Disability Rights Oregon formerly OAC,12,26,38,0,14
2011,South Carolina,Published,Governor`s Office Client Assistance Program,0,204,204,16,3
2011,South Dakota,Published,South Dakota Advocacy Services,2,31,33,0,8
2011,Texas,Published,Disability Rights Texas,189,238,427,19,159
2011,Vermont,Published,Vermont Client Assistance Program,46,31,77,4,41
2011,Virginia,Published,Virginia Office for Protection and Advocacy,17,42,59,20,9
2011,Washington,Published,Client Assistance Program,39,193,232,0,46
2011,Alabama,Published,Alabama Department of Rehabilitation Services,8,13,21,0,13
2011,Alaska,Published,Department of Education and Early Development,29,37,66,2,17
2011,American Samoa,Published,Office of Protection and Advocacy for the Disabled,8,13,21,2,2
2011,Arizona,Published,Arizona Center for Disability Law,35,54,89,5,50
2011,California,Published,Sheila Conlon Mentkowski,202,708,910,0,180
2011,Colorado,Published,Center for Legal Advocacy,11,19,30,4,18
2011,District of Columbia,Published,"University Legal Services, Inc.",9,26,35,2,14
2011,Georgia,Published,Martin & Jones,39,95,134,2,67
2011,Guam,Published,PARENTS-AGENCIES NETWORKING INC. (PAN INC),37,11,48,16,48
2011,Hawaii,Published,HAWAII DISABILITY RIGHTS CENTER,23,56,79,3,17
2011,Illinois,Published,Illinois Department of Human Services,30,102,132,0,29
2011,Indiana,Published,Indiana Protection and Advocacy Services,13,64,77,2,9
2011,Kansas,Published,The Disability Rights Center of Kansas,26,104,130,6,29
2011,Louisiana,Published,Advocacy Center,24,82,106,0,20
2011,Maryland,Published,Maryland Division of Rehabilitation Services -DORS,39,105,144,0,32
2011,Mississippi,Published,Mississippi Society for Disabilities,0,38,38,0,0
2011,Montana,Published,Disability Rights Montana,31,79,110,10,38
2011,Nevada,Published,State Of Nevada Rehabilitation Division,0,27,27,27,0
2011,New Hampshire,Published,GOVERNOR`S COMMISSION ON DISABILITY,17,16,33,2,31
2011,North Dakota,Published,Division of Vocational Rehabilitation,13,31,44,0,18
2011,Northern Marianas,Published,NMPASI,11,7,18,18,3
2011,Ohio,Published,Ohio Legal Rights Service,47,118,165,7,40
2011,Oklahoma,Published,Office of Disability Concerns,12,109,121,22,13
2011,Pennsylvania,Published,Center for Disability Law & Policy,85,137,222,1,68
2011,Puerto Rico,Published,OFFICE OF THE OMBUDSMAN FOR PERSONS WITH DISABILIT,76,104,180,17,72
2011,Rhode Island,Published,RHODE ISLAND DISABILITY LAW CENTER INC.,38,20,58,2,34
2011,Tennessee,Published,Disability Law & Advocacy of Tennessee,28,56,84,4,11
2011,Utah,Published,Disability Law Center,11,215,226,10,28
2011,Virgin Islands,Published,Disability Rights Center of the Virgin Islands,13,13,26,2,6
2011,West Virginia,Published,West Virginia Advocates,9,31,40,4,17
2011,Wisconsin,Published,Wisconsin Client Assistance Program,27,103,130,1,31
2011,Wyoming,Published,Protection & Advocacy System Inc.,1,9,10,0,0
2011,Michigan,Published,Michigan Protection and Advocacy Service Inc.,57,114,171,8,46
2011,District of Columbia,Published,"University Legal Services, Inc.",9,54,63,2,10
2012,Arkansas,Published,Disability Rights Center of Arkansas,4,29,33,1,8
2012,Connecticut,Published,Protection and Advocacy for Persons with Disabilit,6,20,26,0,16
2012,Delaware,Published,United Cerebral Palsy of Dela. Inc.,9,17,26,1,9
2012,Florida,Published,Disability Rights Florida,72,191,263,263,10
2012,Idaho,Published,"Disability Rights Idaho, Inc.",7,39,46,2,4
2012,Iowa,Published,Iowa Client Assistance Program,6,23,29,0,5
2012,Kentucky,Published,Kentucky Client Assistance Program,21,35,56,0,21
2012,Maine,Published,Bureau of Rehabilitation Services,27,60,87,1,24
2012,Massachusetts,Published,Massachusetts Office on Disability,17,133,150,3,13
2012,Minnesota,Published,Legal Aid Society of Minneapolis,41,68,109,0,49
2012,Missouri,Published,Missouri Protection & Advocacy Services,31,32,63,8,22
2012,Nebraska,Published,Nebraska Vocational Rehabilitation,6,44,50,0,3
2012,New Jersey,Published,Disability Rights New Jersey,65,39,104,0,69
2012,New Mexico,Published,Disability Rights New Mexico,7,28,35,35,16
2012,New York,Published,NYS CQCAPD,612,337,949,0,511
2012,North Carolina,Published,Division of Vocational Rehabilitation Services,39,124,163,0,50
2012,Oregon,Published,Disability Rights Oregon formerly OAC,14,40,54,1,12
2012,South Carolina,Published,Governor`s Office Client Assistance Program,3,178,181,15,4
2012,South Dakota,Published,South Dakota Advocacy Services,8,31,39,0,7
2012,Texas,Published,Disability Rights Texas,150,259,409,14,171
2012,Vermont,Published,Vermont Client Assistance Program,41,25,66,1,27
2012,Virginia,Published,Virginia Office for Protection and Advocacy,9,42,51,17,12
2012,Washington,Published,Client Assistance Program,39,172,211,0,30
2012,Alabama,Published,Alabama Department of Rehabilitation Services,10,21,31,0,10
2012,Alaska,Published,Alaska State Department of Education,0,35,35,1,10
2012,American Samoa,Published,Office of Protection and Advocacy for the Disabled,4,9,13,4,0
2012,Arizona,Published,Arizona Center for Disability Law,47,88,135,1,60
2012,California,Published,Sheila Conlon Mentkowski,166,709,875,0,149
2012,Colorado,Published,Center for Legal Advocacy,19,17,36,2,12
2012,Georgia,Published,Martin & Jones,53,58,111,9,52
2012,Guam,Published,PARENTS-AGENCIES NETWORKING INC. (PAN INC),18,21,39,13,39
2012,Hawaii,Published,HAWAII DISABILITY RIGHTS CENTER,18,63,81,2,21
2012,Illinois,Published,Illinois Department of Human Services,29,106,135,0,17
2012,Indiana,Published,Indiana Protection and Advocacy Services,11,47,58,1,13
2012,Kansas,Published,The Disability Rights Center of Kansas,29,63,92,8,13
2012,Louisiana,Published,Advocacy Center,16,62,78,78,0
2012,Maryland,Published,Maryland Division of Rehabilitation Services -DORS,31,112,143,2,17
2012,Mississippi,Published,Mississippi Society for Disabilities,2,29,31,0,2
2012,Montana,Published,Disability Rights Montana,26,77,103,7,31
2012,Nevada,Published,State Of Nevada Rehabilitation Division,0,59,59,0,5
2012,New Hampshire,Published,GOVERNOR`S COMMISSION ON DISABILITY,21,18,39,3,37
2012,North Dakota,Published,Division of Vocational Rehabilitation,18,50,68,5,45
2012,Northern Marianas,Published,NMPASI,3,16,19,0,14
2012,Ohio,Published,Disability Rights Ohio,35,147,182,14,47
2012,Oklahoma,Published,Office of Disability Concerns,13,137,150,5,7
2012,Pennsylvania,Published,Center for Disability Law & Policy,68,167,235,1,76
2012,Puerto Rico,Published,OFFICE OF THE OMBUDSMAN FOR PERSONS WITH DISABILIT,72,133,205,30,98
2012,Rhode Island,Published,RHODE ISLAND DISABILITY LAW CENTER INC.,34,26,60,0,24
2012,Tennessee,Published,Disability Law & Advocacy of Tennessee,11,59,70,2,14
2012,Utah,Published,Disability Law Center,27,246,273,12,16
2012,Virgin Islands,Published,Disability Rights Center of the Virgin Islands,6,13,19,1,3
2012,West Virginia,Published,West Virginia Advocates,17,13,30,2,4
2012,Wisconsin,Published,Wisconsin Client Assistance Program,31,136,167,7,36
2012,Wyoming,Published,Protection & Advocacy System Inc.,0,15,15,5,5
2012,Michigan,Published,Michigan Protection and Advocacy Service Inc.,41,117,158,7,39
2012,District of Columbia,Published,"University Legal Services, Inc.",10,50,60,2,5
2013,Northern Marianas,Published,NMPASI,13,11,24,1,7
2013,Massachusetts,Published,Massachusetts Office on Disability,13,102,115,8,11
2013,Alabama,Published,Alabama Department of Rehabilitation Services,7,12,19,0,7
2013,Arkansas,Published,Disability Rights Center of Arkansas,8,39,47,5,5
2013,American Samoa,Published,Office of Protection and Advocacy for the Disabled,0,10,10,3,2
2013,Arizona,Published,Arizona Center for Disability Law,55,69,124,3,28
2013,California,Published,Sheila Conlon Mentkowski,149,905,"1,054",0,162
2013,Colorado,Published,Center for Legal Advocacy,12,20,32,4,8
2013,Connecticut,Published,Protection and Advocacy for Persons with Disabilit,16,25,41,1,13
2013,Delaware,Published,United Cerebral Palsy of Dela. Inc.,9,9,18,0,3
2013,Florida,Published,Disability Rights Florida,57,293,350,19,65
2013,Georgia,Published,Martin & Jones,53,58,111,9,52
2013,Guam,Published,PARENTS-AGENCIES NETWORKING INC. (PAN INC),21,22,43,11,43
2013,Hawaii,Published,HAWAII DISABILITY RIGHTS CENTER,22,68,90,3,25
2013,Iowa,Published,Iowa Client Assistance Program,5,9,14,0,3
2013,Idaho,Published,"Disability Rights Idaho, Inc.",4,35,39,4,6
2013,Illinois,Published,Illinois Department of Human Services,17,112,129,0,25
2013,Kansas,Published,The Disability Rights Center of Kansas,13,68,81,3,15
2013,Kentucky,Published,Kentucky Client Assistance Program,14,35,49,0,14
2013,Louisiana,Published,Advocacy Center,2,59,61,61,25
2013,Maryland,Published,Maryland Division of Rehabilitation Services -DORS,17,103,120,0,18
2013,Maine,Published,Bureau of Rehabilitation Services,26,69,95,1,26
2013,Michigan,Published,Michigan Protection and Advocacy Service Inc.,35,102,137,3,32
2013,Minnesota,Published,Mid-Minnesota Legal Assistance,48,75,123,0,54
2013,Missouri,Published,Missouri Protection & Advocacy Services,22,47,69,3,0
2013,Mississippi,Published,Mississippi Society for Disabilities,3,38,41,0,3
2013,Montana,Published,Disability Rights Montana,30,65,95,3,31
2013,North Carolina,Published,Division of Vocational Rehabilitation Services,50,87,137,0,27
2013,North Dakota,Published,Division of Vocational Rehabilitation,44,29,73,6,23
2013,Nebraska,Published,Nebraska Vocational Rehabilitation,3,32,35,0,2
2013,New Hampshire,Published,GOVERNOR`S COMMISSION ON DISABILITY,15,16,31,3,16
2013,Nevada,Published,State Of Nevada Rehabilitation Division,11,0,11,0,0
2013,New York,Published,NYS CQCAPD,511,158,669,0,0
2013,Ohio,Published,Disability Rights Ohio,47,183,230,130,28
2013,Oklahoma,Published,Office of Disability Concerns,8,50,58,0,11
2013,Oregon,Published,Disability Rights Oregon formerly OAC,14,30,44,1,13
2013,Pennsylvania,Published,Center for Disability Law & Policy,76,143,219,6,72
2013,Puerto Rico,Published,OFFICE OF THE OMBUDSMAN FOR PERSONS WITH DISABILIT,95,116,211,21,89
2013,South Carolina,Published,Governor`s Office Client Assistance Program,4,135,139,8,6
2013,South Dakota,Published,South Dakota Advocacy Services,7,20,27,0,3
2013,Tennessee,Published,Disability Law & Advocacy Center of Tennessee,14,61,75,1,8
2013,Texas,Published,Disability Rights Texas,157,191,348,4,122
2013,Utah,Published,Disability Law Center,15,217,232,17,9
2013,Virgin Islands,Published,Disability Rights Center of the Virgin Islands,6,18,24,1,10
2013,Vermont,Published,Vermont Client Assistance Program,27,33,60,4,24
2013,Washington,Published,Client Assistance Program,30,177,207,0,41
2013,Wisconsin,Published,Wisconsin Client Assistance Program,36,133,169,2,28
2013,West Virginia,Published,West Virginia Advocates,4,18,22,1,5
2013,Wyoming,Published,"Protection & Advocacy System, Inc.",5,10,15,0,0
2013,Alaska,Published,Alaska State Department of Education,10,13,23,2,10
2013,Indiana,Published,Indiana Protection and Advocacy Services,13,50,63,4,13
2013,New Jersey,Published,Disability Rights New Jersey,69,33,102,3,41
2013,New Mexico,Published,Disability Rights New Mexico,15,15,30,2,7
2013,Rhode Island,Published,RHODE ISLAND DISABILITY LAW CENTER INC.,24,16,40,0,28
2013,Virginia,Published,dLCV on behalf of VOPA,14,35,49,6,7
2013,District of Columbia,Published,"University Legal Services, Inc.",8,33,41,2,2
2013,New York,Published,"Disability Advocates, Inc. dba DRNY",0,154,154,3,132
2013,Nevada,Published,Nevada Disability Advocacy & Law Center,0,29,29,0,5
2014,Northern Marianas,Published,NMPASI,7,8,15,0,8
2014,Massachusetts,Published,Massachusetts Office on Disability,11,87,98,6,30
2014,Alabama,Published,Alabama Department of Rehabilitation Services,3,10,13,0,6
2014,Arkansas,Published,Disability Rights Center of Arkansas,5,26,31,3,5
2014,American Samoa,Published,Office of Protection and Advocacy for the Disabled,2,8,10,3,2
2014,Arizona,Published,Arizona Center for Disability Law,28,97,125,7,51
2014,California,Published,Disability Rights California,162,580,742,117,152
2014,Colorado,Published,Center for Legal Advocacy,8,18,26,1,18
2014,Connecticut,Published,Protection and Advocacy for Persons with Disabilit,13,26,39,2,11
2014,Delaware,Published,"United Cerebral Palsy of Delaware, Inc.",3,16,19,1,7
2014,Florida,Published,Disability Rights Florida,62,230,292,21,37
2014,Georgia,Published,Martin & Jones,63,97,160,5,57
2014,Guam,Published,PARENTS-AGENCIES NETWORKING INC. (PAN INC),12,21,33,8,0
2014,Hawaii,Published,HAWAII DISABILITY RIGHTS CENTER,26,51,77,1,26
2014,Iowa,Published,Iowa Client Assistance Program,3,12,15,0,8
2014,Idaho,Published,"Disability Rights Idaho, Inc.",6,25,31,1,6
2014,Illinois,Published,Illinois Department of Human Services,25,111,136,0,14
2014,Kansas,Published,The Disability Rights Center of Kansas,14,74,88,4,15
2014,Kentucky,Published,Kentucky Client Assistance Program,20,32,52,0,20
2014,Louisiana,Published,Advocacy Center,24,65,89,4,35
2014,Maryland,Published,Maryland Division of Rehabilitation Services -DORS,18,69,87,6,15
2014,Maine,Published,Bureau of Rehabilitation Services,38,72,110,2,40
2014,Michigan,Published,Michigan Protection and Advocacy Service Inc.,25,62,87,6,32
2014,Minnesota,Published,Mid-Minnesota Legal Assistance,33,44,77,0,34
2014,Missouri,Published,Missouri Protection & Advocacy Services,21,33,54,6,26
2014,Mississippi,Published,Mississippi Society for Disabilities,0,29,29,1,0
2014,Montana,Published,Disability Rights Montana,31,80,111,7,34
2014,North Carolina,Published,Division of Vocational Rehabilitation Services,27,90,117,0,26
2014,North Dakota,Published,Division of Vocational Rehabilitation,22,19,41,3,27
2014,Nebraska,Published,Nebraska Vocational Rehabilitation,6,18,24,0,2
2014,New Hampshire,Published,GOVERNOR`S COMMISSION ON DISABILITY,16,12,28,2,8
2014,Oklahoma,Published,Oklahoma Office of Disability Concerns,11,43,54,0,5
2014,Oregon,Published,Disability Rights Oregon formerly OAC,11,27,38,1,8
2014,Pennsylvania,Published,Center for Disability Law & Policy,72,125,197,1,66
2014,Puerto Rico,Published,OFFICE OF THE OMBUDSMAN FOR PERSONS WITH DISABILIT,89,152,241,16,107
2014,South Carolina,Published,Governor`s Office Client Assistance Program,6,118,124,13,10
2014,South Dakota,Published,South Dakota Advocacy Services,3,17,20,0,0
2014,Tennessee,Published,Disability Law & Advocacy Center of Tennessee,8,25,33,1,4
2014,Texas,Published,Disability Rights Texas,121,161,282,282,0
2014,Utah,Published,Disability Law Center,9,171,180,180,13
2014,Virgin Islands,Published,Disability Rights Center of the Virgin Islands,7,12,19,0,11
2014,Vermont,Published,Vermont Client Assistance Program,27,24,51,10,24
2014,Washington,Published,Client Assistance Program,41,190,231,0,36
2014,Wisconsin,Published,Wisconsin Client Assistance Program,28,160,188,9,38
2014,West Virginia,Published,West Virginia Advocates,5,18,23,1,3
2014,Wyoming,Published,"Protection & Advocacy System, Inc.",0,10,10,0,4
2014,Alaska,Published,Alaska State Department of Education,8,16,24,0,8
2014,Indiana,Published,Indiana Protection and Advocacy Services,13,22,35,2,4
2014,New Jersey,Published,Disability Rights New Jersey,41,52,93,2,56
2014,New Mexico,Published,Disability Rights New Mexico,7,20,27,0,7
2014,Nevada,Published,Nevada Disability Advocacy & Law Center,5,33,38,0,16
2014,Rhode Island,Published,RHODE ISLAND DISABILITY LAW CENTER INC.,28,16,44,2,36
2014,Virginia,Published,disAbility Law Center of Virginia,6,57,63,4,9
2014,District of Columbia,Published,"University Legal Services, Inc.",2,43,45,1,13
